Химки
Время 		Угл места 
58313.9		0.463309
58314.9		0.465522
58315.9		0.467732
58316.9		0.469938
58317.9		0.47214
58318.9		0.474338
58319.9		0.476531
58320.9		0.478718
58321.9		0.4809
58322.9		0.483076
58323.9		0.485246
58324.9		0.487409
58325.9		0.489564
58326.9		0.491713
58327.9		0.493853
58328.9		0.495985
58329.9		0.498108
58330.9		0.500223
58331.9		0.502327
58332.9		0.504421
58333.9		0.506505
58334.9		0.508578
58335.9		0.510639
58336.9		0.512688
58337.9		0.514725
58338.9		0.516749
58339.9		0.51876
58340.9		0.520757
58341.9		0.522739
58342.9		0.524706
58343.9		0.526658
58344.9		0.528594
58345.9		0.530514
58346.9		0.532417
58347.9		0.534302
58348.9		0.536169
58349.9		0.538017
58350.9		0.539846
58351.9		0.541656
58352.9		0.543445
58353.9		0.545214
58354.9		0.546961
58355.9		0.548687
58356.9		0.55039
58357.9		0.552069
58358.9		0.553726
58359.9		0.555358
58360.9		0.556966
58361.9		0.558548
58362.9		0.560105
58363.9		0.561635
58364.9		0.563139
58365.9		0.564615
58366.9		0.566063
58367.9		0.567483
58368.9		0.568873
58369.9		0.570235
58370.9		0.571566
58371.9		0.572866
58372.9		0.574135
58373.9		0.575373
58374.9		0.576579
58375.9		0.577752
58376.9		0.578892
58377.9		0.579999
58378.9		0.581071
58379.9		0.582109
58380.9		0.583112
58381.9		0.58408
58382.9		0.585013
58383.9		0.585909
58384.9		0.586768
58385.9		0.587591
58386.9		0.588377
58387.9		0.589124
58388.9		0.589834
58389.9		0.590506
58390.9		0.591139
58391.9		0.591733
58392.9		0.592289
58393.9		0.592804
58394.9		0.593281
58395.9		0.593717
58396.9		0.594113
58397.9		0.594469
58398.9		0.594785
58399.9		0.595061
58400.9		0.595295
58401.9		0.595489
58402.9		0.595642
58403.9		0.595754
58404.9		0.595825
58405.9		0.595855
58406.9		0.595844
58407.9		0.595792
58408.9		0.595699
58409.9		0.595566
58410.9		0.595391
58411.9		0.595175
58412.9		0.594919
58413.9		0.594622
58414.9		0.594285
58415.9		0.593907
58416.9		0.59349
58417.9		0.593032
58418.9		0.592535
58419.9		0.591998
58420.9		0.591422
58421.9		0.590807
58422.9		0.590154
58423.9		0.589462
58424.9		0.588731
58425.9		0.587964
58426.9		0.587158
58427.9		0.586316
58428.9		0.585437
58429.9		0.584522
58430.9		0.583571
58431.9		0.582584
58432.9		0.581563
58433.9		0.580507
58434.9		0.579416
58435.9		0.578292
58436.9		0.577135
58437.9		0.575944
58438.9		0.574722
58439.9		0.573468
58440.9		0.572182
58441.9		0.570866
58442.9		0.569519
58443.9		0.568142
58444.9		0.566737
58445.9		0.565302
58446.9		0.56384
58447.9		0.562349
58448.9		0.560832
58449.9		0.559288
58450.9		0.557718
58451.9		0.556123
58452.9		0.554503
58453.9		0.552858
58454.9		0.55119
58455.9		0.549498
58456.9		0.547784
58457.9		0.546048
58458.9		0.54429
58459.9		0.542511
58460.9		0.540711
58461.9		0.538892
58462.9		0.537053
58463.9		0.535196
58464.9		0.53332
58465.9		0.531426
58466.9		0.529516
58467.9		0.527588
58468.9		0.525644
58469.9		0.523685
58470.9		0.521711
58471.9		0.519722
58472.9		0.517718
58473.9		0.515702
58474.9		0.513672
58475.9		0.511629
58476.9		0.509574
58477.9		0.507508
58478.9		0.50543
58479.9		0.503342
58480.9		0.501243
58481.9		0.499135
58482.9		0.497017
58483.9		0.49489
58484.9		0.492755
58485.9		0.490611
58486.9		0.48846
58487.9		0.486302
58488.9		0.484136
58489.9		0.481964
58490.9		0.479786
58491.9		0.477603
58492.9		0.475414
58493.9		0.47322
58494.9		0.471021
58495.9		0.468818
58496.9		0.466611
58497.9		0.4644
58498.9		0.462187
58499.9		0.45997
58500.9		0.45775
58501.9		0.455529
58502.9		0.453305
58503.9		0.451079
58504.9		0.448852
58505.9		0.446624
58506.9		0.444395
58507.9		0.442165
58508.9		0.439935
58509.9		0.437704
58510.9		0.435474
58511.9		0.433244
58512.9		0.431015
58513.9		0.428786
58514.9		0.426559
58515.9		0.424332
58516.9		0.422108
58517.9		0.419885
58518.9		0.417663
58519.9		0.415444
58520.9		0.413227
58521.9		0.411012
58522.9		0.4088
58523.9		0.406591
58524.9		0.404385
58525.9		0.402181
58526.9		0.399981
58527.9		0.397784
58528.9		0.395591
58529.9		0.393402
58530.9		0.391216
58531.9		0.389034
58532.9		0.386856
58533.9		0.384683
58534.9		0.382513
58535.9		0.380348
58536.9		0.378188
58537.9		0.376032
58538.9		0.373881
58539.9		0.371735
58540.9		0.369593
58541.9		0.367457
58542.9		0.365326
58543.9		0.363199
58544.9		0.361078
58545.9		0.358963
58546.9		0.356853
58547.9		0.354748
58548.9		0.352648
58549.9		0.350555
58550.9		0.348467
58551.9		0.346384
58552.9		0.344308
58553.9		0.342237
58554.9		0.340172
58555.9		0.338113
58556.9		0.336059
58557.9		0.334012
58558.9		0.331971
58559.9		0.329936
58560.9		0.327907
58561.9		0.325884
58562.9		0.323867
58563.9		0.321857
58564.9		0.319852
58565.9		0.317854
58566.9		0.315862
58567.9		0.313877
58568.9		0.311897
58569.9		0.309924
58570.9		0.307957
58571.9		0.305997
58572.9		0.304043
58573.9		0.302095
58574.9		0.300154
58575.9		0.298219
58576.9		0.29629
58577.9		0.294368
58578.9		0.292452
58579.9		0.290542
58580.9		0.288639
58581.9		0.286742
58582.9		0.284852
58583.9		0.282968
58584.9		0.28109
58585.9		0.279219
58586.9		0.277354
58587.9		0.275496
58588.9		0.273643
58589.9		0.271797
58590.9		0.269958
58591.9		0.268124
58592.9		0.266297
58593.9		0.264477
58594.9		0.262662
58595.9		0.260854
58596.9		0.259052
58597.9		0.257256
58598.9		0.255467
58599.9		0.253683
58600.9		0.251906
58601.9		0.250135
58602.9		0.24837
